Artist,Genre,Lyrics,Song,Years
Thomas Rhett,country,"Baby, last night was hands down
One of the best nights
That I've had, no doubt
Between the bottle of wine
And the look in your eyes and the Marvin Gaye
Then we danced in the dark under September stars in the pourin' rain

And I know that I can't ever tell you enough
That all I need in this life is your crazy love
If I never get to see the Northern lights
Or if I never get to see the Eiffel Tower at night
Oh, if all I got is your hand in my hand
Baby, I could die a happy man
A happy man, baby

Baby, that red dress brings me to my knees
Oh, but that black dress makes it hard to breathe
You're a saint; you're a goddess; the cutest; the hottest; a masterpiece
It's too good to be true, nothing better than you
In my wildest dreams

And I know that I can't ever tell you enough
That all I need in this life is your crazy love
If I never get to see the Northern lights
Or if I never get to see the Eiffel Tower at night
Oh if all I got is your hand in my hand
Baby, I could die a happy man, yeah

I don't need no vacation, no fancy destination
Baby, you're my great escape
We could stay at home, listen to the radio
Or dance around the fireplace

Well, if I never get to build my mansion in Georgia
Or drive a sports car up the coast of California
Oh, if all I got is your hand in my hand
Baby, I could die a happy man

Baby, I could die a happy man
Baby, I could die a happy man
Oh, I could die a happy man
You know I could, girl
I could die, I could die a happy man",Die A Happy Man,2016
Cam,country,"I had a dream about a burning house
You were stuck inside
I couldn't get you out
I laid beside you and pulled you close
And the two of us went up in smoke

Love isn't all that it seems I did you wrong
I'll stay here with you until this dream is gone

I've been sleepwalking
Been wandering all night
Trying to take what's lost and broken
Make it right
I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house

See you at a party and you look the same
I could take you back
But people don't ever change
Wish that we could go back in time
I'd be the one you thought you'd find

I've been sleepwalking
Been wandering all night
Trying to take what's lost and broken
Make it right
I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house

The flames are getting bigger now
In this burning house
I can hold on to you somehow
In this burning house
Oh when I don't want to wake up
In this burning house

I've been sleepwalking
Been wandering all night
Trying to take what's lost and broken
Make it right
I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house",Burning House,2016
Sam Hunt,country,"I knew I'd see her around
I'd be at some party, she'd show up and I'd be walking out
Or across some parking lot hiding behind her sister
I'd look up, she'd be at the red light beside me
In that white Maxima with the sticker on the back
I'd act like I didn't see her
We'd pay at the same pumps
Flip through the same stations
And slow down for the same curves
Run around with the same crowds
We just needed some time
She could get on with her life and I'd get on with mine
Thought I would be fine, heh, but maybe not
I knew she'd find a way to get over me
But I'd never thought that

she would get down with somebody I know
I guess that's just how it goes
When you break up in a small town
I see our friends and they put on a show
Like they don't want me to know
So they give me the go-around

But there's only so many streets, so many lights
I swear it's like I can't even leave my house
I should've known all along
You gotta move or move on
When you break up in a small town

For a while I guess they were keeping it low-key
But now it's like these county lines closing in on me
I see em everywhere together
And it's hitting a little too close to home
She's so far gone, she just didn't go far
She was over me before the grass grew back where she used to park her car
She's leaving those same marks in someone else's yard
In someone else's arms right down the road
And I never thought that

she would get down with somebody I know
I guess that's just how it goes
When you break up in a small town
I see our friends and they put on a show
Like they don't want me to know
So they give me the go-around

But there's only so many streets, so many lights
I swear it's like I can't even leave my house
I should've known all along
You gotta move or move on
When you break up in a small town

Your mailbox is seven minutes from mine
And I drive into town sometimes I see you sitting there with him
And I wanna jump out
I wanna fight
I wanna say, ""... that guy"" but I can't
It's my fault, I let her go
I never thought that

she would get down with somebody I know
I guess that's just how it goes
When you break up in a small town
I see our friends and they put on a show
Like they don't want me to know
So they give me the go-around

But there's only so many streets, so many lights
I swear it's like I can't even leave my house
I should've known all along
You gotta move or move on
When you break up in a small town",Break Up In A Small Town,2016
Emily Ann Roberts,country,"I had a dream about a burnin' house
You were stuck inside
I couldn't get you out
I lay beside you and pull you close
And the two of us went up in smoke

Love isn't all that it seems; I did you wrong
I'll stay here with you until this dream is gone

I've been sleepwalkin'
Been wanderin' all night
Trying to take what's lost and broken
Make it right
I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house

See you at a party and you look the same
I could take you back
But people don't ever change
Wish that we could go back in time
Oh, and I'd be the one you thought you'd find

But love isn't all that it seems; I did you wrong
I'll stay here with you until this dream is gone

'Cause I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house

Flames are getting bigger now
In this burning house
I can hold on to you somehow
In this burnin' house
Oh, when I don't want to wake up

I've been sleepwalking
Been wandering all night
Trying to take what's lost and broken
Make it right
I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house",Burning House,2016
Brothers Osborne,country,"Something like a strong wind is coming over me
It's got a hold of me, yeah
Thinking and doing things I shouldn't be
I really shouldn't be

Give it one more call
It's one more ""whatcha doin' right now?""
It's one more trip to my side of town and you walk right in
One more here we go again

One more drink leads to another
You slide up close to me
Tear the t-shirts off each other
Your hands all over me
I tell myself I'm not in love
But one more time is not enough
One last kiss and then you're a goner
And I'm here wishing you could stay a little longer

So calm and so cool, yeah I try to be
Like it don't bother me
The last time was the last time
Until I'm all alone and I'm picking up the phone

One more call
It's one more ""whatcha doin' right now?""
It's one more trip to my side of town and you walk right in
One more here we go again

One more drink leads to another
You slide up close to me
Tear the t-shirts off each other
Your hands all over me
I tell myself I'm not in love
But one more time is not enough
One last kiss and then you're a goner
And I'm here wishing you could stay a little longer

One more drink leads to another
You slide up close to me
Tear the t-shirts off each other
Your hands all over me
I tell myself I'm not in love
But one more time is not enough
One last kiss and then you're a goner
And I'm here wishing you could stay a little longer

Stay a little longer

Wishing you could stay a little longer...",Stay A Little Longer,2016
Chris Young,country,"We say ""goodbye, see you around""
We turn our backs then turn back around
We break up, we make up, and we make love
We can't seem to let go, girl

So I'm comin' over, runnin' every red light
To hell with the closure - save it for another time
Try not to think about you, but it ain't workin'
Why put out a fire when it's still burnin'
Just when I think movin' on is getting closer
I'm comin' over

I'm all alone, but you're on my phone
Tellin' me you miss me and that you're at home
Who knows what we are in the morning
All I know is I want you

So I'm comin' over, runnin' every red light
To hell with the closure - save it for another time
Try not to think about you, but it ain't workin'
Why put out a fire when it's still burnin'
Just when I think movin' on is getting closer
I'm comin' over

Ooh, I'm comin' over

Yeah, we said that we're done and I know that it's late
But you already know I'm on my way

I'm comin' over, runnin' every red light
To hell with the closure - save it for another time
Try not to think about you, but it ain't workin'
Why put out a fire that's burnin'

I'm comin' over, runnin' every red light
To hell with the closure - save it for another time
Try not to think about you, but it ain't workin'
Why put out a fire when it's still burnin'
Just when I think movin' on is getting closer
I'm comin' over

Ooh, I'm comin' over",I'm Comin' Over,2016
Luke Bryan ,country,"(Oh oh)
What you doing in this pace?
Well I could probably ask you the same thing
Another round, girl, what you think?
If youre buying, well you know Ill drink
So make a seven and seven
Do you want it on the rocks?
A double shot of heaven
Spilling off the top

Well go shot for shot for shot til we forgot what we came here to forget
Aint a clock, a tick, a tock thats gonna stop a night we wont regret
So put your drink down and throw your camera up, flip it around and snap a payback picture
Send it to my ex, Ill send it to my ex and send em both a text
Saying we aint we aint going home alone tonight
Girl you aint gotta, I aint gotta go home alone tonight

Slow country from a cover band, I got you covered if you dont know how to dance
But if you want we could grab a cab..Girl we got all night, Ive got a bottomless tab
So lets go

Shot for shot for shot til we forgot what we came here to forget
Aint a clock, a tick, a tock thats gonna stop a night we wont regret
So put your drink down and throw your camera up, flip it around and snap a payback picture
Send it to my ex, Ill send it to my ex and send em both a text
Saying we aint we aint going home alone tonight
Girl you aint gotta, I aint gotta go home alone tonight

It feels too good to let it end right here (I aint going home alone home tonight)
So lets not let it end, let it end right here (girl youre going home with me tonight)

So lets go shot for shot for shot til we forgot what we came here to forget
Aint a clock, a tick, a tock thats gonna stop a night we wont regret
So put your drink down, throw your camera up, flip it around and snap a payback picture
Ill Send it to my ex, Ill send it to my ex and send em both a text
Saying we aint going home alone tonight
Girl you aint gotta, I aint gotta go home alone tonight

Well I aint going home alone tonight
Girl you aint gotta, I aint gotta go home alone tonight
If you wanna, I aint going home tonight
Home alone tonight",Home Alone Tonight,2016
Blake Shelton,country,"I'm gonna take you for a date
Take you for a ride
Gonna get you over there on the passenger's side
I'm gonna put the radio on your favorite song
I'm gonna crank it up and get you singing along

Hey, hey (Hey, hey)
Alright (alright)
Girl I'm digging on it, on you tonight
Ain't it immediate, it's open now
Wishing a woman
It's the damn right
Hold you tight, baby I'm gonna

So what's it gonna take?
What's it gonna be?
We can pump it on the boulevard
Or kick it in the country
Me and you, you and me,
Money back, guaranteed
Love you every night in Daytona, I'm gonna

Hey, hey (Hey, hey)
Alright (alright)
Girl I'm digging on it, on you tonight
Ain't it immediate, it's open now
Wishing a woman
It's the damn right
Hold you tight, baby I'm gonna

Love you all night long
Till the cricket starts trippin'
Girl I ain't just flirting, I'm certain
I'm working on a long term plan
Gonna be your man
Gonna put a little rock steady on your hand

Hey, hey (Hey, hey)
Alright (alright)
Girl I'm digging on it, on you tonight
Ain't it immediate, it's open now
Wishing a woman
It's the damn right
Hold you tight, baby I'm gonna

Hey, hey (Hey, hey)
Alright (alright)
Girl I'm digging on it, on you tonight
Ain't it immediate, it's open now
Wishing a woman
It's the damn right
Hold you tight, baby I'm gonna",Gonna,2016
Jason Aldean,country,"You got the gas
I got the matches
We gonna turn this town to ashes
Cause they ain't never seen nothing like us
Ain't heard loud till we turn it up
I got the wild
You got the crazy
You know that's why I love you baby
Cause your moaning runs just as fast as mine
Little to the middle, keep your throttle down all night
And we only get one life

Ain't scared to ride this train
Make a few marks, leave a few stains
My slam is a little too hard
Might take it just a little to far
My burn, I like it fire
Like a shooting star across the sky
And we may not be around in 20 years but the show gonna we were here
Yeah, the show gonna we were here

People talk girl
You know that well
When they got a good tale to tell
Let's give them something they ain't never seen
A little rated R red-neck dream
Let's play the trail through the dirty south
Or give them something they can talk about
A little story that they won't forget
Long after we ride on to the sunset
Baby, cause we ain't there yet, baby

Ain't scared to ride this train
Make a few marks, leave a few stains
My slam is a little too hard
Might take it just a little to far
My burn, I like it fire
Like a shooting star across the sky
And we may not be around in 20 years but the show gonna we were here
Yeah, the show gonna we were here

We only get a chance around
This runaway rollercoaster train
And it ain't slowing down
So baby let go and remember our name

Ain't scared to ride this train
Make a few marks, leave a few stains
My slam is a little too hard
Might take it just a little to far
My burn, I like it fire
Like a shooting star across the sky
And we may not be around in 20 years but the show gonna we were here
Yeah, the show gonna we were here",Gonna Know We Were Here,2016
Cole Swindell,country,"It's perfect outside; it's like God let me dial up the weather
Got the whole crew here, I ain't seen some of them in forever
It's one of those 'never forget it', 'better stop and take it in' kinda scenes
Everything's just right yeah except for one thing

You should be here, standing with your arm around me here
Cutting up, cracking a cold beer, saying ""Cheers, hey y'all, it's sure been a good year""
It's one of those moments, that's got your name written all over it
And you know that if I had just one wish it'd be that you didn't have to miss this
You should be here

You'd be taking way too many pictures on your phone
Showing 'em off to everybody that you know back home
And even some you don't, yeah
They say now you're in a better place
And I would be too if I could see your face

You should be here, standing with your arm around me here
Cutting up, cracking a cold beer, saying, ""Cheers, hey y'all, it's sure been a good year""
It's one of those moments, that's got your name written all over it
And you know that if I had just one wish it'd be that you didn't have to miss this

Aw, you should be here
You'd be loving this, you'd be freaking out, you'd be smiling, yeah
I know you'd be all about what's going on right here, right now
God, I wish somehow you could be here

Oh, you should be here

Yeah, this is one of those moments that's got your name written all over it
And you know that if I have just one wish, it'd be that you didn't have to miss this
Aw, you should be here
You should be here",You Should Be Here,2016
